state_ut,loan_accounts,disbursed_amount_rs,household_type,asset_holding_class,asset_name,avg_value_assets,debt_to_asset,cash_loan_intensity,risk_tier
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Land,6652.0,175950511.12447384,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Building,7349.0,159262865.69601306,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Livestock & Poultry,5519.0,212071534.6983149,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Farm Business equipment,484.0,2418228925.619835,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Transport equipment,547.0,2139712614.2595978,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Deposits etc,2441.0,479484965.17820567,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Cash & Kind,199.0,5881521608.040201,199.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,1,Cash loan outstanding,17976.0,65110302.62572318,17976.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Land,32904.0,35570836.37247751,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Building,46707.0,25058830.582139723,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Livestock & Poultry,6748.0,173447362.18138707,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Farm Business equipment,862.0,1357799071.925754,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Non-Farm Business equipment,66.0,17733678787.878788,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Transport equipment,694.0,1686488184.4380403,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Deposits etc,5106.0,229224990.2075989,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Cash & Kind,147.0,7962059863.945579,147.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,2,Cash loan outstanding,19935.0,58711953.85001254,19935.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Land,48898.0,23936005.562599696,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Building,74995.0,15606677.778518569,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Livestock & Poultry,21236.0,55115031.0792993,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Farm Business equipment,1326.0,882671794.8717948,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Non-Farm Business equipment,332.0,3525369879.518072,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Transport equipment,1162.0,1007248537.0051636,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Deposits etc,6799.0,172146315.63465217,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Cash & Kind,331.0,3536020543.8066463,331.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,3,Cash loan outstanding,24661.0,47460476.05531,24661.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Land,99723.0,11736738.76638288,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Building,96997.0,12066587.626421435,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Livestock & Poultry,10733.0,109048989.09904034,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Farm Business equipment,1357.0,862507590.2726603,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Non-Farm Business equipment,452.0,2589430973.4513273,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Transport equipment,7207.0,162400832.52393505,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Share etc,13.0,90032523076.92308,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Deposits etc,5137.0,227841697.4888067,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Cash & Kind,995.0,1176304321.60804,995.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,4,Cash loan outstanding,40366.0,28995263.34043502,40366.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Land,161700.0,7238236.239950526,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Building,152487.0,7675557.916412546,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Livestock & Poultry,16701.0,70081001.13765642,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Farm Business equipment,1579.0,741243065.231159,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Non-Farm Business equipment,290.0,4035940689.6551723,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Transport equipment,3665.0,319351377.89904505,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Share etc,4.0,292605700000.0,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Deposits etc,7198.0,162603889.96943596,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Cash & Kind,743.0,1575266218.0349932,743.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,5,Cash loan outstanding,29070.0,40262222.222222224,29070.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Land,213860.0,5472845.786963434,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Building,191254.0,6119729.783429367,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Livestock & Poultry,27557.0,42472794.571252316,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Farm Business equipment,4089.0,286236928.3443385,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Non-Farm Business equipment,267.0,4383605992.509363,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Transport equipment,5677.0,206169244.31918266,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Deposits etc,5696.0,205481530.8988764,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Cash & Kind,1176.0,995257482.9931973,1176.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,6,Cash loan outstanding,65735.0,17805169.240130827,65735.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Land,323330.0,3619901.648470603,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Building,241132.0,4853867.591194864,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Livestock & Poultry,26184.0,44699923.61747632,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Farm Business equipment,8671.0,134981293.96840042,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Non-Farm Business equipment,2148.0,544889571.6945996,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Transport equipment,17133.0,68313943.85104768,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Deposits etc,10874.0,107634982.52712893,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Cash & Kind,5780.0,202495294.11764705,5780.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,7,Cash loan outstanding,138035.0,8479174.122505162,138035.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Land,539614.0,2169000.063008002,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Building,249144.0,4697776.3863468515,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Livestock & Poultry,38611.0,30313195.721426535,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Farm Business equipment,20138.0,58120111.23249578,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Non-Farm Business equipment,640.0,1828785625.0,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Transport equipment,63743.0,18361589.50786753,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Share etc,37.0,31633048648.648647,0.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Deposits etc,20781.0,56321774.698041484,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Cash & Kind,3212.0,364390660.0249066,3212.0,High
Andhra Pradesh,10166870,1170422800000.0,Cultivator,8,Cash loan outstanding,97577.0,11994863.543662954,97577.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,9,Land,810438.0,1444185.4898215532,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,9,Building,616394.0,1898822.5063839038,0.0,Low
Andhra Pradesh,10166870,1170422800000.0,Cultivator,9,Livestock & Poultry,45489.0,25729798.412803095,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,9,Farm Business equipment,19313.0,60602847.82271009,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,9,Non-Farm Business equipment,19865.0,58918842.18474704,0.0,Medium
Andhra Pradesh,10166870,1170422800000.0,Cultivator,9,Transport equipment,23400.0,50018068.376068376,0.0,Medium
