Sl. No.,State/UT,Total (From as on 08-04-2015 to as on 28-02-2025) - No. of Loan A/cs,Total (From as on 08-04-2015 to as on 28-02-2025) - Disbursed Amount ( Rs. in Crore)
1,Andaman and Nicobar Islands,54113,1132.06
2,Andhra Pradesh,10166870,117042.28
3,Arunachal Pradesh,137575,1731.35
4,Assam,11428299,63037.4
5,Bihar,59131357,281943.31
6,Chandigarh,196358,3206.21
7,Chhattisgarh,9876372,58220.38
8,Dadra and Nagar Haveli and Daman and Diu,41740,712.39
9,Delhi,3518927,40015.83
10,Goa,381054,5178.81
11,Gujarat,15631752,127107.46
12,Haryana,9468110,70580.4
13,Himachal Pradesh,1120766,21262.24
14,Jharkhand,15253328,77672.57
15,Karnataka,49664726,302146.41
16,Kerala,16985782,116034.73
17,Lakshadweep,12184,178
18,Madhya Pradesh,30934148,174183.16
19,Maharashtra,41740196,274402.02
20,Manipur,460165,2946.62
21,Meghalaya,292492,2859.62
22,Mizoram,163702,2740.02
23,Nagaland,158596,2218.65
24,Odisha,33567998,149461.55
25,Pondicherry,1215650,7550.59
26,Punjab,9677658,75157.92
27,Rajasthan,22336127,171837.77
28,Sikkim,170246,1688
29,Tamil Nadu,58063665,323647.76
30,Telangana,7695919,72261.88
31,Tripura,3171318,17533.83
32,Jammu and Kashmir,2133342,45815.92
33,Ladakh,63308,1904.4
34,Uttar Pradesh,51332213,314360.86
35,Uttarakhand,3278277,30442.77
36,West Bengal,51186301,282322.94
Total,Total,520710634,3240538
