Country,State,Year,Residence Type,Household Type,Asset Holding Class,Asset Type,Asset Name,"Average Value Of Assets (Ava) Per Household (UOM:INR(IndianRupees)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Land,238
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Building,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Livestock & Poultry,5912
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Farm Business equipment,526
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Non-Farm Business equipment,203
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Transport equipment,387
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Asset Category,Deposits etc,10818
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Loan Receivable,Cash & Kind,502
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,1,Cash Loan,Cash loan outstanding,2822
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Land,34028
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Building,17581
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Livestock & Poultry,8974
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Farm Business equipment,391
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Non-Farm Business equipment,1183
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Transport equipment,8371
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Asset Category,Deposits etc,22437
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Loan Receivable,Cash & Kind,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,2,Cash Loan,Cash loan outstanding,19998
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Land,68354
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Building,26626
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Livestock & Poultry,10539
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Farm Business equipment,1986
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Non-Farm Business equipment,1001
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Transport equipment,1357
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Asset Category,Deposits etc,35768
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Loan Receivable,Cash & Kind,194
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,3,Cash Loan,Cash loan outstanding,17085
